着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）
14,2,4,フォーティプリンス,牡6,57,丸山,01:20.2,クビ,13,136,37,12月11日,美浦小西,484(0)
15,7,13,パイロジェン,牡4,57,田辺,01:20.5,1.3/4,5,7.8,37.3,9月11日,美浦伊藤圭,458(0)
16,3,6,ジュンパッション,牡5,57,津村,01:20.8,1.3/4,1,5.2,39.9,1月1日,美浦高柳瑞,480(+2)
1,1,1,リリーピュアハート,牝3,54,福永,02:27.0,,2,3.4,34.2,5-5-6-7,栗東藤原英,438(+8)
2,6,6,ヴォリアーモ,牝3,54,ルメー,02:27.3,1.3/4,1,3.1,34.6,7-7-6-6,美浦木村,460(+8)
3,8,8,サトノシャローム,牡3,56,Ｍデム,02:27.3,ハナ,3,4.6,35,2-2-1-1,栗東池江,504(0)
4,8,9,ルトロヴァイユ,牝3,54,吉田豊,02:27.4,3月4日,8,29.4,34.9,5-5-5-3,美浦竹内,466(-4)
5,7,7,アルサトワ,牡3,56,フォー,02:27.5,3月4日,4,6.1,35,1-1-3-3,栗東斉藤崇,506(-6)
6,4,4,ハギノエスペラント,牡3,56,ミナリ,02:27.5,ハナ,9,32.1,35.1,3-3-2-2,栗東松田,478(+6)
7,2,2,クロスザルビコン,牡3,56,田辺,02:27.7,1.1/4,7,16.3,34.8,8-8-8-7,美浦大和田,434(-10)
8,3,3,ローレリスト,牡3,56,横山典,02:28.6,5,6,15.3,35.4,9-9-9-9,美浦中川,454(-6)
9,5,5,ヴィズサクセス,牡3,56,北村宏,02:30.1,9,5,13.7,37.6,3-3-4-3,美浦手塚,458(0)
1,1,1,フォギーナイト,牡6,54,ルメー,01:36.3,,2,4,35.9,7月8日,美浦堀,496(-8)
2,6,12,マッスルビーチ,牡4,55,福永,01:36.4,1月2日,1,3.8,35.6,12月12日,栗東鈴木孝,468(+14)
3,3,5,ヴァイトブリック,牡4,55,丸山,01:36.6,1.1/4,8,17.5,36.4,5月4日,美浦和田郎,508(+10)
4,7,14,デターミネーション,牡4,55,フォー,01:36.8,1.1/4,3,6,36.9,2月2日,栗東小崎,476(+12)
5,8,16,バーンフライ,牡5,55,野中,01:37.0,1.1/4,9,23.7,36.4,9月9日,栗東矢作,492(0)
6,6,11,トワイライトタイム,牡5,55,岩田康,01:37.0,クビ,7,17,36.7,7月6日,栗東五十嵐,468(+4)
7,5,10,ハーグリーブス,牡5,54,大野,01:37.1,クビ,10,25,36.4,9月9日,美浦尾関,510(-2)
8,8,15,ビービーガウディ,牡6,54,柴田善,01:37.1,ハナ,15,123.7,36.1,15-15,美浦久保田,484(0)
9,4,7,カレンガリアード,牡5,54,津村,01:37.1,ハナ,11,36.5,37.4,1月1日,栗東安田翔,468(+4)
10,3,6,フィールザファラオ,牡5,54,北村宏,01:37.3,1,6,11.8,36.5,12月12日,美浦岩戸,466(0)
